State,Rank,Make/Model,Model Year,Thefts
Alabama,1,Chevrolet Pickup (Full Size),2005, 499 
Alabama,2,Ford Pickup (Full Size),2006, 357 
Alabama,3,Toyota Camry,2014, 205 
Alabama,4,Nissan Altima,2014, 191 
Alabama,4,Chevrolet Impala,2004, 191 
Alabama,5,Honda Accord,1998, 180 
Alabama,6,GMC Pickup (Full Size),1999, 152 
Alabama,7,Dodge Pickup (Full Size),1998, 138 
Alabama,8,Ford Mustang,2002, 122 
Alabama,9,Ford Explorer,2002, 119 
Alaska,1,Chevrolet Pickup (Full Size),2003, 147 
Alaska,2,Ford Pickup (Full Size),2004, 95 
Alaska,3,GMC Pickup (Full Size),1997, 58 
Alaska,4,Honda Civic,2000, 56 
Alaska,5,Honda Accord,1993, 46 
Alaska,6,Dodge Pickup (Full Size),1998, 44 
Alaska,7,Ford Explorer,1994, 31 
Alaska,8,Jeep Cherokee/Grand Cherokee,1999, 28 
Alaska,9,Ford Pickup (Small Size),2000, 22 
Alaska,10,Chevrolet Pickup (Small Size),1998, 20 
Arizona,1,Honda Accord,1997," 1,072 "
Arizona,2,Honda Civic,1998," 1,016 "
Arizona,3,Chevrolet Pickup (Full Size),2004, 850 
Arizona,4,Ford Pickup (Full Size),2006, 772 
Arizona,5,Dodge Pickup (Full Size),2001, 428 
Arizona,6,Nissan Altima,2015, 269 
Arizona,7,GMC Pickup (Full Size),2015, 246 
Arizona,8,Toyota Camry,1999, 210 
Arizona,9,Jeep Cherokee/Grand Cherokee,1994, 207 
Arizona,10,Nissan Sentra,2014, 200 
Arkansas,1,Chevrolet Pickup (Full Size),2004, 402 
Arkansas,2,Ford Pickup (Full Size),2008, 252 
Arkansas,3,GMC Pickup (Full Size),1997, 174 
Arkansas,4,Dodge Pickup (Full Size),1999, 127 
Arkansas,5,Honda Accord,1997, 122 
Arkansas,6,Nissan Altima,2015, 89 
Arkansas,7,Toyota Camry,2013, 82 
Arkansas,8,Chevrolet Impala,2012, 76 
Arkansas,9,Chevrolet Malibu,2006, 72 
Arkansas,10,Chevrolet Tahoe,2003, 68 
California,1,Honda Accord,1996," 28,345 "
California,2,Honda Civic,1998," 28,045 "
California,3,Chevrolet Pickup (Full Size),2006," 6,048 "
California,4,Toyota Camry,1991," 5,345 "
California,5,Ford Pickup (Full Size),2006," 4,504 "
California,6,Acura Integra,1994," 4,273 "
California,7,Toyota Corolla,2014," 3,339 "
California,8,Nissan Sentra,1997," 2,555 "
California,9,Nissan Altima,1997," 2,281 "
California,10,Honda CR-V,1999," 2,033 "
Colorado,1,Honda Civic,1997," 1,380 "
Colorado,2,Honda Accord,1997," 1,167 "
Colorado,3,Ford Pickup (Full Size),2005, 595 
Colorado,4,Jeep Cherokee/Grand Cherokee,1999, 594 
Colorado,5,Chevrolet Pickup (Full Size),2000, 450 
Colorado,6,Dodge Pickup (Full Size),2001, 308 
Colorado,7,Subaru Legacy,1996, 215 
